Name,FSH,GH,Prolactin,TSH,LH
A_001,18214.14294,2534.477221,14110.03993,264.4063113,106.9979524
A_002,16092.68601,1611.77238,10040.30124,248.723868,84.28052151
A_003,17566.12051,22881.90234,5472.831329,737.8855136,220.0257111
A_004,15430.91789,649.9752211,8689.681878,878.2335346,222.9618129
A_005,5597.63343,65846.30952,17854.94981,814.601335,276.6784988
A_006,18270.21822,3605.45469,4513.44408,359.7406641,183.7618127
A_007,17978.88602,881.63612,14350.59811,267.1664749,116.8634437
A_008,16551.4739,740.6747884,7611.93156,572.8135371,150.3533482
A_009,16965.80323,28200.71585,9630.563378,431.5714049,252.2881053
A_010,18922.66802,4206.536173,15632.07585,582.0989944,181.7988608
A_011,13530.66197,3280.967234,18971.63697,631.1074745,146.4175891
A_012,8856.021606,40995.52605,11351.00315,533.3081329,163.1367816
A_013,10947.56351,38677.64025,15047.52346,840.7964009,229.8102609
A_014,16102.20934,17232.71498,13247.82968,557.9943446,163.1367816
A_015,10396.83022,736.8669159,25952.10137,263.9460711,75.38091526
A_016,14024.31602,48152.13488,16531.31172,781.0327353,228.8321217
A_017,17743.28212,353.8583729,5484.848479,703.2873349,198.4749872
A_018,19260.85371,280.6992665,11769.66902,442.5297803,178.8539054
A_019,10787.64154,3359.9235,22369.17978,520.4753864,142.4807026
A_020,15249.73259,10226.90584,8119.388661,799.0483956,234.6999046
A_021,14591.18441,8573.173759,17954.55594,483.4407223,125.7363519
A_022,12806.41802,16508.65531,13813.5444,855.0196965,171.9798805
A_023,7958.683228,1832.281418,18277.47287,214.3443157,103.0497791
A_024,9625.542168,32712.18854,15136.57701,458.6877514,142.4807026
A_025,10623.47399,4682.207914,17177.08329,286.8839411,98.11297355
A_026,11753.38223,474.4930208,8269.284543,110.0587447,63.50586235
A_027,14187.57087,50120.67547,16007.67402,459.5591171,144.4492868
A_028,8796.243595,39628.91825,6837.240854,275.8925914,73.40244715
A_029,16113.63915,498.5853002,13328.68392,102.3489083,49.63875459
A_030,14705.78755,470.4659453,6537.367249,164.9670105,77.35910049
A_031,15149.82525,34315.72169,7869.353643,546.9481226,188.6679618
A_032,14839.25322,3475.167514,6185.560018,329.1525175,81.31462242
A_033,18459.21022,25281.45746,8976.18366,1033.46225,486.5553761
A_034,14754.65212,12467.22397,12331.18327,552.9001044,179.8356275
A_035,19066.49667,4890.47861,9081.791516,563.0817345,147.4016345
A_036,18180.14525,4821.321399,8279.537999,1109.367175,244.4739316
A_037,8412.156569,63072.60481,7347.453918,997.2127854,247.4047724
A_038,15225.21947,3489.380389,3294.126328,314.6658444,606.9213317
A_039,12853.53967,36158.92284,6607.173799,1148.624342,251.3115789
A_040,13500.61193,9303.862526,7681.859288,572.8135371,191.6108075
A_041,16157.47187,53358.37006,6817.974477,737.8855136,210.2341416
A_042,15534.86502,1225.746488,6442.547622,174.4270419,76.37004324
A_043,20186.73977,47173.37143,5335.183293,520.4753864,158.2214849
A_044,9980.177535,43574.03404,13211.50497,944.865717,360.247736
A_045,19283.69137,1295.707178,10300.79992,249.1861282,99.10047593
A_046,12040.46239,2495.405461,6348.156356,106.4469295,43.19573721
A_047,23644.3064,5072.762535,4754.393738,839.8407116,185.7085619
A_048,7789.474112,1735.947836,4555.359731,778.293738,153.2274323
A_049,20224.65789,4327.365478,2233.712403,751.9179031,123.6740464
A_050,20053.95822,4290.902519,10027.9868,1837.466253,252.0643872
A_051,6771.614204,1519.531632,7640.391995,1560.887849,194.5622571
A_052,29130.60469,6343.566526,7008.81976,451.3280799,274.1602552
A_053,17189.93451,3687.160736,11074.54021,649.3367141,131.0647099
A_054,21590.11367,4621.409536,4277.850918,2793.639442,2666.470166
A_055,19498.33781,4172.635138,3174.67987,1014.317556,160.6119869
A_056,26503.34371,5722.125061,10627.5362,526.1731201,128.1086327
A_057,14410.27343,3111.070807,14621.65068,1780.784106,237.3277255
A_058,21376.441,4575.10385,11771.49803,870.6181341,132.5426548
A_059,9046.728586,2000.532441,5343.662634,464.5408302,181.2809578
A_060,17247.09757,3699.086041,14931.39072,734.3339581,2271.227751
A_061,21476.52626,4596.779537,8502.927763,22.25382149,51.15865631
A_062,12865.0022,2792.418904,24407.96631,609.7595991,105.9299692
A_063,29567.51293,6449.364318,3724.079525,1620.190774,268.2690699
A_064,32845.88598,7266.412827,8481.511754,1843.438436,300.6615178
A_065,17393.33842,3729.613763,3242.665264,214.4758565,57.08444709
A_066,9754.924258,2148.482382,22688.12146,596.5652248,105.9299692
A_067,28096.74759,6096.04101,2422.459945,1271.473465,201.9388163
A_068,23568.69803,5055.938729,12461.53109,913.1272496,153.2274323
A_069,10110.74567,2222.572606,13788.51752,539.3748621,58.56571717
A_070,16986.96622,3644.850442,21592.1983,646.4053471,119.2388915
A_071,18462.16367,3953.649974,17460.13508,880.8781314,1729.404603
A_072,14980.03169,3228.702933,11015.29161,2069.720221,303.6052113
A_073,16147.92087,3470.436467,5777.015963,869.1524583,1013.583988
A_074,20487.97109,4383.735083,3140.758792,1018.719075,166.5185674
A_075,17839.8328,3822.998149,17664.68032,1168.500454,222.5860113
A_076,20930.95816,4478.919568,10073.61308,1312.713095,356.5631978
A_077,23089.44528,4949.688395,9846.296121,305.8128674,76.33549273
