ionMz,Top annotation name,mansuy8_059,mansuy8_059,mansuy8_036,mansuy8_036,mansuy8_054,mansuy8_054,mansuy8_030,mansuy8_030,mansuy8_074,mansuy8_074,mansuy8_011,mansuy8_011,mansuy8_049,mansuy8_049,mansuy8_005,mansuy8_005,mansuy8_044,mansuy8_044,mansuy8_032,mansuy8_032,mansuy8_050,mansuy8_050,mansuy8_020,mansuy8_020,mansuy8_024,mansuy8_024,mansuy8_019,mansuy8_019,mansuy8_060,mansuy8_060,mansuy8_017,mansuy8_017,mansuy8_070,mansuy8_070,mansuy8_033,mansuy8_033,mansuy8_068,mansuy8_068,mansuy8_055,mansuy8_055,mansuy8_031,mansuy8_031,mansuy8_034,mansuy8_034,mansuy8_018,mansuy8_018,mansuy8_066,mansuy8_066,mansuy8_080,mansuy8_080,mansuy8_041,mansuy8_041,mansuy8_027,mansuy8_027,mansuy8_056,mansuy8_056,mansuy8_071,mansuy8_071,mansuy8_043,mansuy8_043,mansuy8_012,mansuy8_012,mansuy8_029,mansuy8_029,mansuy8_035,mansuy8_035,mansuy8_015,mansuy8_015,mansuy8_078,mansuy8_078,mansuy8_004,mansuy8_004,mansuy8_079,mansuy8_079,mansuy8_064,mansuy8_064,mansuy8_077,mansuy8_077,mansuy8_040,mansuy8_040,mansuy8_039,mansuy8_039,mansuy8_028,mansuy8_028,mansuy8_065,mansuy8_065,mansuy8_023,mansuy8_023,mansuy8_053,mansuy8_053,mansuy8_022,mansuy8_022,mansuy8_026,mansuy8_026,mansuy8_072,mansuy8_072,mansuy8_063,mansuy8_063,mansuy8_061,mansuy8_061,mansuy8_069,mansuy8_069,mansuy8_062,mansuy8_062,mansuy8_067,mansuy8_067,mansuy8_076,mansuy8_076,mansuy8_073,mansuy8_073,mansuy8_045,mansuy8_045,mansuy8_014,mansuy8_014,mansuy8_057,mansuy8_057,mansuy8_025,mansuy8_025,mansuy8_010,mansuy8_010,mansuy8_021,mansuy8_021,mansuy8_042,mansuy8_042,mansuy8_037,mansuy8_037,mansuy8_016,mansuy8_016,mansuy8_075,mansuy8_075,mansuy8_051,mansuy8_051,mansuy8_038,mansuy8_038,mansuy8_052,mansuy8_052,mansuy8_006,mansuy8_006,mansuy8_112,mansuy8_112,mansuy8_102,mansuy8_102,mansuy8_108,mansuy8_108,mansuy8_100,mansuy8_095,mansuy8_095,mansuy8_101,mansuy8_101,mansuy8_103,mansuy8_103,mansuy8_098,mansuy8_098,mansuy8_113,mansuy8_113,mansuy8_116,mansuy8_116,mansuy8_096,mansuy8_096,mansuy8_105,mansuy8_105,mansuy8_089,mansuy8_089,mansuy8_086,mansuy8_086,mansuy8_114,mansuy8_114,mansuy8_107,mansuy8_107,mansuy8_104,mansuy8_104,mansuy8_111,mansuy8_111,mansuy8_097,mansuy8_097,mansuy8_081,mansuy8_081,mansuy8_082,mansuy8_082,mansuy8_088,mansuy8_088,mansuy8_092,mansuy8_092,mansuy8_094,mansuy8_094,mansuy8_115,mansuy8_115,mansuy8_093,mansuy8_093,mansuy8_085,mansuy8_085,mansuy8_084,mansuy8_084,mansuy8_087,mansuy8_087,mansuy8_083,mansuy8_083,mansuy8_099,mansuy8_099,mansuy8_091,mansuy8_091,mansuy8_109,mansuy8_109,mansuy8_106,mansuy8_106,mansuy8_090,mansuy8_090,mansuy8_110,mansuy8_110
55.0186,Acrolein,43623,43614,39409,42459,40354,41088,39036,43653,38914,38251,41845,40714,38692,38175,44082,37808,42622,43320,41842,38670,39389,36778,40614,42701,39574,40364,40046,38765,40161,41313,41727,38379,38750,37271,43996,38553,36064,34784,37971,41524,36453,32002,37454,39203,39593,39830,40614,41534,42063,38010,37371,38484,38729,42270,38023,42501,36028,38156,41696,36839,37854,40298,36685,40567,42303,39388,38380,39368,41095,39432,39306,35895,36300,37675,37102,40921,35119,40338,36221,36512,33554,35902,37939,36322,38768,38352,35779,35573,36727,37044,33886,36317,36958,38101,37391,36025,36237,39410,37950,34952,36043,36417,40392,40172,39170,35850,36565,40442,38563,41338,39348,39722,37337,41568,35962,34837,38019,40057,37348,33879,36207,35699,37447,41228,44941,41338,38050,39448,36931,35535,42468,40000,36439,38032,37184,39149,37924,37978,34161,34826,38463,37038,36725,40948,37893,36211,31942,39663,36749,35900,38235,38780,40515,39894,37316,40384,39983,39807,39450,34394,38399,38023,38109,33903,37234,36241,36760,37708,38056,40563,36843,36476,33978,35663,36164,37720,35324,43118,40567,39555,36359,36934,35478,35761,36780,35733,37581,34317,32055,34117,35681,35512,34832,38787,41656,39063,43099,41716,39218,37120,40353,37418,36316,40469,41855,40416,39039,37898,38298
57.0343,Acetone,87013,89954,86306,78434,74453,84505,77573,84815,77146,79864,90036,84120,78141,76650,84361,78127,79131,77997,82694,85942,76673,76238,85970,87026,82081,83668,82505,79327,75242,81582,78685,80534,76407,75333,80914,74634,78527,82894,82650,81107,74092,80533,81147,84925,86178,79520,83231,78655,83886,75911,79840,80180,76004,80703,80887,75558,80190,79625,79348,81457,78368,76025,80305,81016,85569,83324,80988,80319,84219,87466,77489,83560,81355,78622,84485,82484,86889,84398,79544,77075,82679,84029,84533,80972,84565,83019,85015,82956,78658,78348,79198,83834,84549,78168,81383,75196,76399,81583,79747,75758,71576,72575,84817,83747,86649,79272,87330,83976,86813,86082,79594,80920,77599,73042,82918,82351,81855,83863,84877,82499,74096,72798,83936,78258,81571,76433,76523,73004,73697,78678,80434,80872,80591,76133,78964,83085,83351,79098,82279,87858,90137,90748,86648,80171,85449,87620,88825,81813,70378,84625,85079,79576,77688,80741,82805,93304,79168,83430,76199,77829,85294,81803,78616,74904,78448,81577,82072,80066,76301,73778,76549,75604,82039,89791,91409,82074,75114,83478,81242,82890,79434,72654,75526,79843,84077,79974,80787,92988,86925,79748,76361,83914,80530,86476,87324,78190,85275,84699,88426,80583,81797,78929,81492,83410,89113,84376,88089,74379,81502
58.0295,Acetamide,26414,27188,28524,27903,32504,28314,26163,25787,27651,31696,27857,27271,26886,27747,28458,27634,31294,31001,29195,27235,30515,28339,27114,28703,28809,27039,28944,31278,30688,29598,26623,26925,29936,30095,32269,31624,29156,30425,29399,31011,27688,26609,27539,27437,28666,27428,31155,28086,27878,30780,31138,28726,29408,30326,28622,29097,30581,31595,28449,30402,26042,28737,29650,28826,29092,29607,28913,29012,29771,29483,26858,27435,25989,27011,26418,30405,29437,27485,24747,25617,29408,26030,25203,26211,27898,28343,29173,28087,26225,25483,27326,26176,26663,29818,27490,29596,27334,26810,28722,27780,30281,29755,29122,27241,29224,28128,29938,29687,27471,30758,26477,30249,29571,27370,30031,30769,30336,29948,30517,29691,29363,25131,32022,30332,27931,29467,28539,28541,29519,27547,28289,31905,27359,27322,29639,30642,31457,29826,31280,32083,29167,32241,32196,30621,29301,29845,27505,28701,31069,28657,29547,28110,29072,27877,28856,31466,29433,30453,29688,27591,29511,32654,30836,28062,25717,32202,30639,30273,30921,29255,29070,30476,28935,30698,31004,31777,29686,29934,31423,32467,29695,30562,28733,30384,32590,31025,32731,29796,27655,31052,29915,27087,26480,29440,32080,31811,29829,28785,30305,28533,31893,27653,28411,28931,33054,27182,28084,29670,29925
59.0136,Acetatic acid,1405373,1393033,1416012,1380029,1255768,1225731,1259254,1308673,1265959,1236163,1257218,1304082,1301255,1301641,1303981,1261255,1246149,1223990,1269410,1263893,1252958,1256921,1278493,1273611,1302949,1345797,1321638,1354101,1247123,1257616,1250272,1258227,1251125,1248421,1307758,1308924,1216490,1222803,1308769,1293825,1218506,1217188,1358851,1393400,1423810,1421518,1353356,1345790,1387834,1346828,1309466,1325291,1336775,1362723,1352132,1349280,1342682,1340860,1293309,1301885,1311463,1289557,1314647,1311360,1425723,1410062,1360620,1376335,1302271,1328504,1273818,1308693,1297356,1341107,1373818,1365602,1491725,1477732,1331561,1325537,1293672,1289632,1255438,1248815,1377934,1381199,1267837,1267661,1267058,1278107,1279425,1285570,1346578,1324264,1346142,1338307,1328619,1340951,1310374,1290102,1268817,1276971,1356288,1360349,1361376,1357008,1376132,1368312,1370907,1401102,1364382,1352755,1281270,1310075,1285647,1290641,1425995,1425910,1404556,1403232,1340732,1334133,1348207,1347265,1320381,1334711,1359947,1351694,1268592,1299353,1371446,1376674,1348039,1360146,1344152,1329761,1370682,1347810,1337545,1301032,1340879,1332282,1320706,1290857,1350683,1357311,1347997,1328611,1308977,1312236,1306190,1316825,1300261,1369070,1370694,1360979,1352400,1342725,1319228,1326398,1316645,1373893,1373028,1297813,1301029,1416537,1409161,1289235,1329268,1300507,1291011,1285942,1285546,1208938,1183883,1268935,1279229,1376329,1382459,1326328,1300724,1278737,1282923,1217844,1193348,1403042,1387724,1181848,1165394,1219562,1248713,1241022,1270568,1354613,1352223,1410303,1425237,1450684,1471329,1371595,1373012,1379533,1402313,1398573,1431927,1429955,1391951,1377040,1353985
59.0253,Urea,18638,20717,19795,18649,15746,18094,17670,21616,18477,18067,19468,19945,19191,19543,19084,17865,17759,17128,16876,18847,19806,18241,21649,18845,19422,19722,19590,20917,18131,19840,18436,17807,17993,16736,21180,20990,17696,18216,19176,18696,18381,18879,17588,18460,16465,18747,18059,19266,17646,19108,18628,19558,17578,17126,17209,16917,18115,18538,15982,17201,18942,16915,18297,16749,18486,16121,17892,16562,16627,17152,18617,16261,17308,16775,18675,20639,18160,18611,18357,17908,17842,17208,17949,19450,19146,18001,17718,18309,17101,16582,18678,17604,17521,17059,18661,18294,18174,18728,16621,18717,16150,14956,18349,16207,16512,19515,19862,17761,20486,17347,19124,17905,17087,18913,17089,15340,17998,19546,18857,21114,15337,18481,18855,17358,17932,17129,18371,18249,15711,17396,18250,18210,17792,17035,18842,17364,18433,18772,18494,16578,17696,17642,19631,18933,15526,18532,17965,17302,18026,18112,19709,16087,15730,17895,16994,17364,16246,18672,18458,17818,20076,17548,18342,17782,16397,18230,18012,19170,18004,17542,17896,16118,16885,16765,16689,18645,17225,16210,16756,18138,16691,16178,18182,14830,15922,18599,17267,18523,16413,16975,17297,15211,18754,19645,17452,17760,18754,19671,18812,16687,19778,17481,16510,18029,18925,18692,16748,16447,18101
59.05,Propanol,118753,118766,134220,124800,130167,121550,110115,111432,127587,120385,108816,111955,114944,113903,123997,111772,131991,127379,119019,109360,112138,108587,116913,119984,114878,106506,131802,122722,132072,127082,104527,101102,108029,107386,130223,122312,116682,115950,130491,125725,99146,98383,108453,111834,111908,109420,108998,113263,123548,114280,114487,113447,107130,100988,123996,117031,107991,113739,106520,108289,105154,103320,104685,112382,131107,115656,111397,101933,112858,112194,100031,97588,98774,100649,111484,109119,109709,108950,105798,105247,97438,100212,103461,100242,106568,102729,99712,105347,101092,102958,101157,98136,103972,97282,110129,104726,112680,108351,107059,103662,106791,108505,106577,103043,103047,109167,112149,112505,102124,105249,115408,115997,99959,99189,121635,112478,113512,109370,112712,105350,102480,99642,102068,104770,104988,101384,108087,103948,100840,96559,109374,109156,107552,103890,103783,105929,103347,100590,103597,102781,106002,108590,107306,108083,106825,104017,102944,114912,107520,107386,99743,106616,110684,115700,114396,104362,108830,113469,116398,111445,107153,104579,108730,92775,93141,112937,107747,94851,102190,108836,102058,105416,101067,101871,108211,105979,102483,104254,99297,104036,97584,100169,104687,102047,105388,114139,109030,94573,98044,98663,93896,102105,101397,104697,100650,101569,98046,97148,101223,101359,99785,98649,99833,102052,97319,113629,109510,101722,100728
60.9928,Carbonic acid,40012,38988,35989,37446,35858,34433,35077,35600,36055,35974,35757,33682,35810,36202,34361,34246,35706,34703,35371,35663,35828,32853,35326,33666,33452,32185,33746,32546,30868,35117,35664,34701,35461,33357,34743,33888,33711,37427,36831,35693,35150,35879,35204,38697,35464,37299,34441,35851,35025,36424,35526,33455,33684,34462,34247,34237,31353,34431,34729,34936,33499,33801,35128,34961,34168,32207,33669,36280,33648,36314,39216,35473,36777,35299,38763,33551,36440,33572,34916,34219,34787,37383,34694,37039,33918,36893,34597,34919,38041,35288,35996,38138,37093,35282,37639,39953,33193,36856,37025,36799,36834,38624,35548,37995,36913,34510,36437,38500,37934,37275,36083,34666,35693,33568,36218,33778,40805,36076,36462,36427,35720,33718,37255,41129,38171,37186,36810,38705,36491,37082,37544,37134,38718,35845,39075,34691,34146,33119,32444,35513,35854,33509,34636,32671,36613,38893,36416,32519,34349,36763,35042,34005,35312,32574,32640,33998,35098,35443,32602,32479,36547,34099,36940,38123,37660,34308,33992,34318,34002,35364,36728,35860,34401,35438,35660,36486,33502,35651,37502,35813,36903,37854,35416,35997,35703,35333,35821,38071,34490,37508,39782,38044,37178,35419,38776,36218,37931,39698,40436,40241,40224,40352,39866,37429,37579,39725,38295,42313,37403
61.0292,Ethylene glycol,16448,19639,19818,19746,16575,18568,17130,20042,18714,18095,14701,15549,15173,18690,15786,17811,16961,17210,16445,17244,18455,15301,18750,17689,16210,16415,15507,17081,14559,14638,16991,17312,17239,15771,16225,14094,16553,18119,17350,16883,15918,17137,17265,15951,19349,18044,17259,16140,19429,13427,16406,16154,16643,16095,15741,15361,17903,16714,15855,14870,19366,17419,15450,15875,17886,18569,16007,16097,17310,14906,15518,17054,17476,20325,15803,16975,19046,15982,17814,17628,16320,17117,16779,18205,16583,15266,16966,16699,18570,15718,19500,17348,17708,18573,18207,17693,16927,14761,17700,17661,17063,15050,16601,16324,14811,18967,17371,16999,18077,16372,15655,17761,16372,16404,15444,18001,17822,17559,15754,16057,16462,17690,17036,17054,17644,16110,18212,17175,17750,16610,19695,17577,18080,16157,17088,16565,16288,15872,15662,16005,16997,17314,15624,16782,15143,16830,17673,13857,16909,17897,16224,17587,17654,13500,15600,14388,15934,15951,16405,17083,15824,15317,17330,14369,15280,17502,16001,14572,15911,17084,13939,14663,17024,14192,15415,15186,16607,17314,15845,16122,16339,15589,14657,15645,14987,17306,17146,15399,13527,17374,14619,17267,13972,15773,15681,16542,17782,16950,15433,15623,18970,18059,17949,18552,15044,15429,17710,17864,16634
66.0347,3-Butenenitrile,12568,13529,12866,13452,11810,11380,14291,10471,12341,11501,12853,13180,11855,13071,12615,12757,13072,12844,13812,15208,12354,12333,13734,12264,12407,12998,10763,13531,13454,13153,11049,12610,12874,12392,13345,14020,11450,12291,12474,13133,13295,12105,12405,11840,13856,11696,10411,12583,12363,13581,12143,13762,13695,12565,13478,11843,11489,12854,12563,12683,12571,11978,12594,11993,10870,11688,12709,12559,12296,12180,10604,13190,11395,11984,12446,11769,11558,12241,12399,11792,12010,11936,11724,11603,12208,13118,12738,12492,11855,12436,13116,12641,12827,13042,11599,12909,13683,12812,11167,11841,12817,11840,11902,13916,11251,12764,14268,13160,12121,11979,11353,10872,12106,13048,11289,13683,15060,12430,11261,13278,11424,13466,14565,13094,12850,12769,12207,12608,11293,13158,12830,11737,13087,11451,12150,11694,11253,12615,11164,13154,12751,12992,12199,11401,12402,12832,12009,11086,12683,10741,13101,12186,11047,12503,12175,11425,10567,12048,12064,11476,12716,12485,13248,12268,11797,11364,12806,14572,12306,11009,12159,11201,12102,12810,12468,12200,12963,14256,13433,12857,12022,11460,11244,12209,15246,11573,12656,11673,11756,10905,14170,10412,12696,13295,10924,12788,10269,13142,13527,13312,13348,12201,13438,13846,12341,10373,13468,10299,14939
67.0187,Butynal,13876,15952,16700,14460,12262,14421,17140,12994,15289,14594,14062,12537,13927,16174,14258,12946,14113,12645,12787,14650,13692,13613,15997,16456,16386,13715,15094,14458,15466,14184,14708,14494,15858,13634,15051,12859,17093,14089,16310,15730,12532,15509,15442,13783,14475,16982,13886,12821,12932,13336,12196,14965,14433,13081,14795,13579,14573,13370,12247,12807,13589,14742,13209,12496,14075,15179,14721,14492,13301,12592,15701,15794,14045,14848,14296,12757,12878,13180,13788,17441,13652,13513,13212,12467,14732,15404,13450,13993,13744,15327,15895,14956,13597,14031,13454,15536,13718,13198,14225,11980,14463,12094,14991,12329,15594,14148,14120,16948,14122,13316,12644,13098,12663,14624,12669,12748,15952,14802,16737,14254,13424,14507,13572,12842,16671,14877,13763,14056,14468,14489,13545,13697,13253,12856,12826,14338,12905,13513,15169,12394,13897,14659,14364,14317,16261,11909,14817,15314,14596,11723,13691,13936,14476,12936,13260,13612,13869,12966,15151,12586,13611,12688,15662,15464,14796,14867,13420,12953,13122,14141,13875,14947,13538,13134,14177,13158,13114,12860,13220,13942,12231,13628,14578,12217,13249,14463,14263,11336,12680,13251,12334,12985,15006,12401,17369,16791,13307,16786,13099,14462,12357,13370,13916,12891,13834,12789,12689,13793,14199
