Name,Comb,Animal No.,Timepoint,Group,Housing
mansuy8_001,CON SH T1,2,T1,CON,SH
mansuy8_002,MSUS SH T1,3,T1,MSUS,SH
mansuy8_003,MSUS SH T1,4,T1,MSUS,SH
mansuy8_004,CON SH T1,5,T1,CON,SH
mansuy8_005,MSUS SH T1,7,T1,MSUS,SH
mansuy8_006,MSUS SH T1,8,T1,MSUS,SH
mansuy8_007,CON SH T1,9,T1,CON,SH
mansuy8_008,CON SH T1,10,T1,CON,SH
mansuy8_009,MSUS SH T1,12,T1,MSUS,SH
mansuy8_010,CON SH T1,13,T1,CON,SH
mansuy8_011,MSUS SH T1,15,T1,MSUS,SH
mansuy8_012,MSUS SH T1,16,T1,MSUS,SH
mansuy8_013,CON SH T1,17,T1,CON,SH
mansuy8_014,CON SH T1,18,T1,CON,SH
mansuy8_015,MSUS SH T1,19,T1,MSUS,SH
mansuy8_016,MSUS SH T1,20,T1,MSUS,SH
mansuy8_017,CON SH T1,21,T1,CON,SH
mansuy8_018,CON SH T1,22,T1,CON,SH
mansuy8_019,MSUS SH T1,23,T1,MSUS,SH
mansuy8_020,CON SH T1,25,T1,CON,SH
mansuy8_021,CON SH T1,26,T1,CON,SH
mansuy8_022,MSUS SH T1,27,T1,MSUS,SH
mansuy8_023,CON SH T1,29,T1,CON,SH
mansuy8_024,CON SH T1,30,T1,CON,SH
mansuy8_025,MSUS SH T1,31,T1,MSUS,SH
mansuy8_026,MSUS SH T1,35,T1,MSUS,SH
mansuy8_027,CON SH T1,37,T1,CON,SH
mansuy8_028,CON SH T1,38,T1,CON,SH
mansuy8_029,MSUS SH T1,39,T1,MSUS,SH
mansuy8_030,MSUS SH T1,40,T1,MSUS,SH
mansuy8_031,CON SH T1,41,T1,CON,SH
mansuy8_032,CON SH T1,42,T1,CON,SH
mansuy8_033,MSUS SH T1,43,T1,MSUS,SH
mansuy8_034,MSUS SH T1,44,T1,MSUS,SH
