Name,Housing,Timepoint,Group,Number
A_001,SH,T1,CON,1
A_002,SH,T1,CON,2
A_003,SH,T1,MSUS,3
A_004,SH,T1,MSUS,4
A_005,SH,T1,CON,5
A_006,SH,T1,CON,6
A_007,SH,T1,MSUS,7
A_008,SH,T1,MSUS,8
A_009,SH,T1,CON,9
A_010,SH,T1,CON,10
A_011,SH,T1,MSUS,12
A_012,SH,T1,CON,13
A_013,SH,T1,CON,14
A_014,SH,T1,MSUS,15
A_015,SH,T1,MSUS,16
A_016,SH,T1,CON,17
A_017,SH,T1,CON,18
A_018,SH,T1,MSUS,19
A_019,SH,T1,MSUS,20
A_020,SH,T1,CON,21
A_021,SH,T1,CON,22
A_022,SH,T1,MSUS,23
A_023,SH,T1,MSUS,24
A_024,SH,T1,CON,25
A_025,SH,T1,CON,26
A_026,SH,T1,MSUS,27
A_027,SH,T1,CON,29
A_028,SH,T1,CON,30
A_029,SH,T1,MSUS,31
A_030,SH,T1,MSUS,32
A_031,SH,T1,CON,33
A_032,SH,T1,CON,34
A_033,SH,T1,MSUS,35
A_034,SH,T1,MSUS,36
A_035,SH,T1,CON,37
A_036,SH,T1,CON,38
A_037,SH,T1,MSUS,39
A_038,SH,T1,MSUS,40
A_039,SH,T1,CON,41
A_040,SH,T1,CON,42
A_041,SH,T1,MSUS,43
A_042,SH,T1,MSUS,44
A_043,SH,T1,CON,45
A_044,SH,T1,CON,46
A_045,SH,T1,MSUS,47
A_046,SH,T1,MSUS,48
A_047,EE,T2,CON,1
A_048,EE,T2,CON,2
A_049,EE,T2,MSUS,3
A_050,EE,T2,MSUS,4
A_051,SH,T2,CON,5
A_052,SH,T2,CON,6
A_053,SH,T2,MSUS,7
A_054,SH,T2,MSUS,8
A_055,EE,T2,CON,9
A_056,EE,T2,CON,10
A_057,EE,T2,MSUS,11
A_058,EE,T2,MSUS,12
A_059,SH,T2,CON,13
A_060,SH,T2,CON,14
A_061,SH,T2,MSUS,15
A_062,SH,T2,MSUS,16
A_063,EE,T2,CON,17
A_064,EE,T2,CON,18
A_065,EE,T2,MSUS,19
A_066,EE,T2,MSUS,20
A_067,EE,T2,CON,21
A_068,EE,T2,CON,22
A_069,EE,T2,MSUS,23
A_070,EE,T2,MSUS,24
A_071,SH,T2,CON,25
A_072,SH,T2,CON,26
A_073,SH,T2,MSUS,27
A_074,SH,T2,MSUS,28
A_075,SH,T2,CON,29
A_076,SH,T2,CON,30
A_077,SH,T2,MSUS,31
A_078,SH,T2,MSUS,32
A_079,SH,T2,CON,33
A_080,SH,T2,CON,34
A_081,EE,T2,MSUS,36
A_082,SH,T2,CON,37
A_083,SH,T2,CON,38
A_084,EE,T2,MSUS,39
A_085,EE,T2,MSUS,40
A_086,EE,T2,CON,41
A_087,EE,T2,CON,42
A_088,SH,T2,MSUS,43
A_089,SH,T2,MSUS,44
A_090,EE,T2,CON,45
A_091,SH,T2,MSUS,47
A_092,SH,T2,MSUS,48
A_093,EE,T3,CON,1
A_094,EE,T3,CON,2
A_095,EE,T3,MSUS,3
A_096,EE,T3,MSUS,4
A_097,SH,T3,CON,5
A_098,SH,T3,CON,6
A_099,SH,T3,MSUS,7
A_100,SH,T3,MSUS,8
A_101,EE,T3,CON,9
A_102,EE,T3,CON,10
A_103,EE,T3,MSUS,11
A_104,EE,T3,MSUS,12
A_105,SH,T3,CON,14
A_106,SH,T3,MSUS,15
A_107,SH,T3,MSUS,16
A_108,EE,T3,CON,17
A_109,EE,T3,CON,18
A_110,EE,T3,MSUS,19
A_111,EE,T3,MSUS,20
A_112,EE,T3,CON,21
A_113,EE,T3,CON,22
A_114,EE,T3,MSUS,23
A_115,EE,T3,MSUS,24
A_116,SH,T3,CON,25
A_117,SH,T3,CON,26
A_118,SH,T3,MSUS,27
A_119,SH,T3,MSUS,28
A_120,SH,T3,CON,29
A_121,SH,T3,CON,30
A_122,SH,T3,MSUS,31
A_123,SH,T3,MSUS,32
A_124,SH,T3,CON,33
A_125,SH,T3,CON,34
A_126,EE,T3,MSUS,36
A_127,SH,T3,CON,37
A_128,SH,T3,CON,38
A_129,EE,T3,MSUS,39
A_130,EE,T3,MSUS,40
A_131,EE,T3,CON,41
A_132,EE,T3,CON,42
A_133,SH,T3,MSUS,43
A_134,SH,T3,MSUS,44
A_135,EE,T3,CON,45
A_136,SH,T3,MSUS,47
A_137,SH,T3,MSUS,48
